ERROR: 2020-10-27T12:25:51-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:27:22-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:29:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:30:05-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:30:43-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Expected corresponding JSX closing tag for <L> (14:4)"}} 
ERROR: 2020-10-27T12:36:58-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Network Error"}} 
ERROR: 2020-10-27T12:36:58-05:00 {"source":"UpdateNotification.getMarketplaceVersion","message":"request to https://marketplace.visualstudio.com/items?itemName=Stepsize.tech-debt-tracker failed, reason: getaddrinfo ENOTFOUND marketplace.visualstudio.com"} 
ERROR: 2020-10-27T12:44:05-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:44:20-05:00 {"source":"AnalyticsProvider.sendData","message":"getaddrinfo ENOTFOUND api.segment.io"} 
ERROR: 2020-10-27T12:54:54-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:54:58-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:54:58-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:54:58-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:54:58-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:54:59-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:00-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:01-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
